id,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
176,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.595306377,0.498055536,41.76622653,7406.902484
177,25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.383581787,0.395502524,30.27497178,3948.986911
178,20.0,0.537,0.117,0.409,0.058,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.404617089,0.40166998,30.74824045,4203.027624
179,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.603493403,0.497864974,41.61500537,7713.479598
180,25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.340822336,0.379871916,28.43820263,3322.946202
181,12.5,0.25,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.612209289,0.506686303,42.79905453,7884.567722
182,12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.607690073,0.501568683,42.1419027,7895.020796
183,12.5,0.25,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.610860604,0.503371107,42.33928002,7861.465383
184,25.0,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.473458531,0.437681481,34.72483444,5439.421503
185,25.0,0.5,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.420206355,0.417915449,32.71791783,4808.609022
186,25.0,0.5,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.502398084,0.453649741,36.60011315,6019.262475
187,12.5,0.25,0.25,0.25,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.448841436,0.397617195,31.77298278,5063.851086
188,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.494493206,0.445587455,35.56261102,5942.421625
189,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.450822025,0.401931944,32.31099546,5336.974729
190,12.5,0.25,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.542133036,0.465157167,37.83085922,6281.91711
191,25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.539252868,0.469978321,38.48035199,6994.248011
192,25.0,0.5,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.52332906,0.463275619,37.72210168,6328.893321
193,12.5,0.25,0.25,0.38,0.38,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.556294925,0.474133769,38.86811018,6795.881873
194,12.5,0.25,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.619453149,0.50952792,43.07173864,8109.230504
195,25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.378833119,0.395893563,30.29666322,4278.763209
196,25.0,0.5,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.460126356,0.407704613,32.81456057,5575.394471
197,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.509782413,0.455453173,36.81018683,6202.327017
198,20.0,6.64,0.0,0.0,0.0,86.0,52.0,71.9,62.0,30.0,50.8,3.77,0.06,0.508675267,0.336240383,24.60174115,4936.36477
199,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.492994856,0.427177542,34.94019505,5791.456731
200,25.0,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.558394035,0.478666426,39.44864975,7184.013843
201,12.5,0.25,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.56581933,0.476002331,39.04659266,6806.492688
202,25.0,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.462996546,0.405525072,32.79766623,5684.143505
203,25.0,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.440365017,0.423763672,33.12590428,4694.608192
204,25.0,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.521414646,0.462795445,37.71251297,6409.140005
205,12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.538371386,0.446570029,36.98857322,6771.722906
206,12.5,0.25,0.25,0.38,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.33163021,0.373012567,27.735098,3049.397713
207,12.5,0.25,0.25,0.25,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.590337413,0.493533938,41.17642111,7301.106216
208,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.587276072,0.494588902,41.40492886,7174.664896
209,25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.482854142,0.445484498,35.70587779,5428.106015
210,12.5,0.25,0.25,0.25,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.397278517,0.398863863,30.39027791,4068.350665
211,12.5,0.25,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.437188153,0.416107584,32.29905902,4745.460284
212,25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.421448998,0.414830175,32.16492155,4558.980717
213,25.0,0.5,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.423038771,0.416537797,32.41723682,4710.858646
214,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.475118209,0.418867231,34.0430221,5722.576764
215,37.5,0.75,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.410652063,0.408159008,31.67889844,3813.165795
216,12.5,0.25,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.595052932,0.494864674,41.36494454,7483.736315
217,25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.467905283,0.437062839,34.69390641,5453.993821
218,12.5,0.25,0.25,0.25,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.435969213,0.419720202,32.81579359,4684.893205
219,12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.520986614,0.433668483,35.6972028,6598.854044
220,12.5,0.25,0.25,0.38,0.25,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.532227877,0.444146829,36.88084855,6569.249674
221,20.0,0.0,0.0,0.0,0.585,86.0,52.0,71.9,62.0,30.0,50.8,3.77,0.06,0.361519212,0.389814772,29.55949395,4254.825135
222,25.0,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.390657895,0.37863215,29.46743356,4163.823044
223,25.0,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.500207249,0.431267232,35.31400484,6543.971817
224,12.5,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.517721232,0.432440021,35.50033008,6198.064956
225,12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.534126224,0.441974474,36.7513957,6731.712208
226,12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.533196209,0.443192487,36.95787336,6779.981658
227,12.5,0.25,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.577201619,0.48335599,39.92318644,7107.609758
228,25.0,0.5,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.519184034,0.460180133,37.30376378,6325.266131
229,12.5,0.25,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.532627825,0.460285638,37.19103587,6255.890642
230,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.379102775,0.39728943,30.35778147,4162.761559
231,12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.536128074,0.445071322,36.9753139,6771.674965
232,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.555726691,0.470719472,38.38301202,6645.569975
233,25.0,0.5,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.539747718,0.470852882,38.60776797,6826.208733
234,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.614621141,0.513728593,43.7550339,8090.417127
235,12.5,0.25,0.25,0.25,0.38,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.567975637,0.480580564,39.64161958,7016.89385
236,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.446141264,0.426437069,33.44212024,5004.154338
237,12.5,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.518776342,0.456450549,36.84586824,6010.760082
238,25.0,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.5143032,0.454917386,36.6742427,6157.054843
239,25.0,0.5,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.432419853,0.394168935,31.44841986,4952.013044
240,37.5,0.75,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.284442614,0.352186419,26.10117938,2625.269164
241,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.505120461,0.425220363,34.79781929,6187.951881
242,12.5,0.25,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.632108665,0.521053692,44.57214339,8408.383412
243,25.0,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.532482559,0.465680233,37.90850822,6752.016952
244,12.5,0.25,0.25,0.25,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.532704207,0.447647041,36.99403039,6480.80815
245,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.548124898,0.475847288,39.18303615,6754.448935
246,12.5,0.25,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.614291616,0.509645194,43.17615175,7998.350591
247,12.5,0.25,0.25,0.38,0.38,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.572725923,0.479866804,39.46947609,7024.748359
248,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.498696418,0.432754792,35.40935334,6189.779795
249,25.0,0.5,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.52380127,0.463058596,37.69400303,6515.261449
250,12.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.391598449,0.400083453,30.66218699,3968.330182
251,25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.509001253,0.455135389,36.69768447,6079.085257
252,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.578887446,0.482859526,39.77772061,7183.10038
253,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.582848693,0.487056813,40.37019338,7198.422854
254,12.5,0.25,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.627442488,0.519045161,44.39094402,8254.126537
255,12.5,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.492076861,0.422051395,34.43568098,5647.712261
256,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.4745752,0.436042539,34.68201491,5296.611091
257,12.5,0.25,0.25,0.25,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.626280739,0.516666897,43.97488159,8263.289742
258,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.574796304,0.482118713,39.77346165,7172.435009
259,12.5,0.25,0.25,0.38,0.25,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.489326401,0.41985155,34.02922281,5674.028523
260,37.5,0.75,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.407564155,0.40878935,31.56258602,4303.94303
261,12.5,0.25,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.576602444,0.487427885,40.46221144,7064.169775
262,12.5,0.25,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.547283352,0.466492143,37.87903588,6583.457887
263,25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.41985138,0.383219703,30.22351864,4867.94772
264,25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.551264467,0.478135139,39.4849869,6821.808099
265,25.0,0.5,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.566413581,0.486368192,40.45342047,7236.090253
266,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.610691292,0.503991707,42.40950749,7935.094765
267,25.0,0.5,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.477832221,0.439278501,34.8789274,5524.145415
268,25.0,0.5,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.395911623,0.408088064,31.67018669,4201.435956
269,12.5,0.25,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.583077181,0.490020262,40.73826603,7150.9817
270,12.5,0.25,0.25,0.25,0.38,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.399362246,0.400247657,30.7671091,4177.015203
271,25.0,0.5,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.483805569,0.445308404,35.72248781,5632.459174
272,25.0,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.508296527,0.45370258,36.57388769,6301.034422
273,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.529163709,0.438095887,36.25083805,6749.518191
274,25.0,0.5,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.509158377,0.450886886,36.13019216,6236.707106
275,12.5,0.25,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.571610169,0.468338919,39.41382075,7381.379396
276,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.434666745,0.401067837,31.93547883,4858.240729
277,25.0,0.5,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.353235517,0.383470679,28.94869929,3626.366534
278,25.0,0.5,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.488876344,0.445474763,35.59821657,5696.026057
279,25.0,0.5,0.25,0.75,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.454381334,0.42782472,33.55926075,5236.03334
280,12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.46555863,0.409033913,32.9240208,5322.840434
281,12.5,0.25,0.25,0.25,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.540978199,0.466453575,37.96686445,6443.256903
282,12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.586760249,0.490357436,40.7940564,7400.775379
283,12.5,0.25,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.566076664,0.481349777,39.7419306,6848.626223
284,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.560709036,0.475184735,38.99704008,6887.466493
285,12.5,0.25,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.641480254,0.528322189,45.47838117,8711.208961
286,12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.483872542,0.417947008,34.20739786,5665.219597
287,25.0,0.5,0.38,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.51884433,0.461179325,37.405241,6226.285142
288,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.447668818,0.423013398,33.08835541,4850.037463
289,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.543972464,0.466640196,37.96058614,6451.100519
290,25.0,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.538604193,0.468763134,38.3177098,6663.000678
291,25.0,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.510102557,0.453994528,36.49496278,6115.947066
292,12.5,0.25,0.25,0.25,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.573428227,0.483047479,39.92972033,7122.490558
293,25.0,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.38581266,0.375406416,29.13659362,4245.285732
294,25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.550864261,0.476928353,39.33656697,6909.429998
295,12.5,0.25,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.509933842,0.453340965,36.66168432,5898.015732
296,25.0,0.5,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.364564858,0.391617371,29.90851804,3723.523376
297,12.5,0.25,0.25,0.75,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.544066693,0.464561582,37.67828481,6514.638993
298,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.390063566,0.402362581,30.87322424,4010.552148
299,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.638787728,0.524904141,44.99434918,8634.775829
300,25.0,0.5,0.25,0.75,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.523845567,0.460305334,37.27729673,6521.291119
301,12.5,0.25,0.38,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.498657334,0.448608762,36.11395452,5777.3754
302,25.0,0.5,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.358261487,0.388145286,29.38856018,3396.729889
303,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.553032347,0.471189418,38.45252155,6540.105445
304,25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.46424992,0.409987805,33.0201908,5902.33288
305,25.0,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.384610827,0.376874346,29.3286186,4167.451239
306,20.0,0.0,0.0,0.585,0.0,86.0,52.0,71.9,62.0,30.0,50.8,3.77,0.06,0.249334678,0.320727305,23.41277571,2605.696759
307,12.5,0.25,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.429210588,0.409976946,31.57410804,4580.392997
308,25.0,0.25,0.25,0.25,0.38,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.335529768,0.378528127,28.45383631,3385.148001
309,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.579981861,0.48518887,40.17821466,7231.027782
310,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.454937519,0.423865656,33.26713681,5151.386473
311,12.5,0.25,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.621810512,0.511053454,43.24204733,8173.589103
312,25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.546259537,0.473088807,38.82636429,6919.34518
313,25.0,0.5,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.495479339,0.448400516,35.92331365,5946.052257
314,25.0,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.566355374,0.483787993,39.98873363,7565.211237
315,25.0,0.5,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.47973321,0.443962193,35.55511529,5636.308737
316,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.582954458,0.488176027,40.55976952,7243.226111
317,12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.511750776,0.427683045,35.17991165,6461.670875
318,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.540082008,0.463759475,37.60167915,6331.867217
319,25.0,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.515012624,0.459420676,37.21402074,5966.711278
320,12.5,0.25,0.25,0.25,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.530709113,0.460796109,37.25124178,6093.315271
321,12.5,0.25,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.645475445,0.530933466,45.80306982,8823.690108
322,25.0,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.53990422,0.468904437,38.34178123,7293.53617
323,12.5,0.25,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.535877448,0.462697311,37.55556802,6368.849821
324,12.5,0.25,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.598645112,0.499370198,41.92156882,7637.633381
325,25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.363981224,0.388819023,29.52823594,3937.915393
326,12.5,0.25,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.506190323,0.452074913,36.55432716,5807.006933
327,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.600388431,0.501204063,42.12881916,7604.315838
328,12.5,0.25,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.564981991,0.467219599,39.50188081,7219.760394
329,25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.541564813,0.470719039,38.54027918,7071.615319
330,12.5,0.25,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.610993712,0.503636289,42.40915749,7963.939307
331,25.0,0.5,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.386011221,0.397661192,30.5255093,4056.834271
332,25.0,0.5,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.467156853,0.435851115,34.48550991,5424.123512
333,12.5,0.25,0.25,0.75,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.603545036,0.497978979,41.6216451,7738.881709
334,25.0,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.468192461,0.435692713,34.5553911,5154.975914
335,25.0,0.5,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.429000524,0.391211231,31.07883034,4936.01177
336,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.514537018,0.430253104,35.41408191,6335.296388
337,20.0,0.537,0.117,0.409,0.058,89.0,39.0,65.6,66.0,28.0,45.3,3.77,0.06,0.401537849,0.399935482,30.58216104,4166.299735
338,12.5,0.25,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.601161249,0.495799217,41.36318078,7558.005885
339,25.0,0.5,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.496598201,0.447853006,35.82485206,5970.681858
340,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.55235942,0.455179564,38.04275581,7103.508943
341,40.0,0.537,0.117,0.409,0.058,86.0,52.0,71.9,62.0,30.0,50.8,3.77,0.06,0.342841074,0.377915162,28.46200492,3373.436842
342,12.5,0.25,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.567958657,0.477778535,39.23966787,6862.908392
343,25.0,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.451103585,0.402855862,32.40278346,5455.118908
344,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.521523421,0.455614374,36.67877702,6098.113172
345,25.0,0.5,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.308856187,0.366977261,27.19065136,2946.926015
346,25.0,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.262139643,0.349353787,25.43353016,2384.728916
347,25.0,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.51175153,0.459224426,37.29886067,5919.430755
348,12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.566319234,0.462462315,39.12726257,7416.707761
349,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.575902218,0.480382567,39.49160012,7159.336664
350,25.0,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.524563481,0.463821541,37.75813832,6327.008075
351,12.5,0.25,0.25,0.25,0.38,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.508341786,0.450021969,35.97225667,5728.748277
352,25.0,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.48180056,0.443504,35.39214139,5715.008404
